,1,2,3,4,5,6,7,8,9,10,11,12
A,E2901,E2907,E2913,E2919,E2925,E2854,E2937,E2943,E2890,E2953,E2958,E2963
B,E2902,E2908,E2914,E2920,E2926,E2932,E2883,E2944,E2891,E2954,E2959,E2964
C,E2903,E2909,E2915,E2842,E2927,E2933,E2939,E2945,E2950,E2955,E2960,E2965
D,E2904,E2910,E2916,E2922,E2849,E2934,E2834,E2886,E2951,E2956,E2961,E2966
E,E2905,E2911,E2917,E2923,E2929,E2862,E2835,E2947,E2952,E2957,E2962,E2967
F,E2906,E2912,E2851,E2859,E2930,E2936,E2836,E2887,E2892,E2895,E2898,E2847
G,E2839,E2845,E2857,E2860,E2876,E2881,E2884,E2888,E2893,E2896,E2899,
H,E2840,E2846,E2863,E2861,E2877,E2882,E2885,E2889,E2894,E2897,E2900,
